,Material,ICSD number,GGA gap,HSE gap,Atomic mass,Atomic no,Atomic orbitals_1s,Atomic orbitals_2s,Atomic orbitals_2p,Atomic orbitals_3s,Atomic orbitals_3p,Atomic orbitals_3d,Atomic orbitals_4s,Atomic orbitals_4p,Atomic orbitals_4d,Atomic orbitals_4f,Atomic orbitals_5s,Atomic orbitals_5p,Atomic orbitals_5d,Atomic orbitals_5f,Atomic orbitals_6s,Atomic orbitals_6p,Atomic orbitals_6d,Atomic orbitals_7s,Atomic radius,Atomic radius calculated,Boiling point,Brinell hardness,Bulk modulus,Coefficient of linear thermal epansion,Common oxidation states_-4,Common oxidation states_-3,Common oxidation states_-2,Common oxidation states_-1,Common oxidation states_0,Common oxidation states_1,Common oxidation states_2,Common oxidation states_3,Common oxidation states_4,Common oxidation states_5,Common oxidation states_6,Common oxidation states_7,Critical temperature,Density of solid,Electrical resistivity,Unnamed: 45,Ionic radii_-3,Ionic radii_-2,Ionic radii_-1,Ionic radii_0,Ionic radii_1,Ionic radii_2,Ionic radii_3,Ionic radii_4,Ionic radii_5,Ionic radii_6,Ionic radii_7,Ionic radii_8,Liquid range,Melting point,Mendeleev no,Mineral hardness,Molar volume,Unnamed: 63,Oxidation states_-4,Oxidation states_-3,Oxidation states_-2,Oxidation states_-1,Oxidation states_0,Oxidation states_1,Oxidation states_2,Oxidation states_3,Oxidation states_4,Oxidation states_5,Oxidation states_6,Oxidation states_7,Oxidation states_8,Poissons ratio,Reflectivity,Refractive index,Rigidity modulus,Superconduction temperature,Thermal conductivity,Van der waals radius,Velocity of sound,Vickers hardness,X,Youngs modulus,Metallic radius,iupac_ordering,IUPAC ordering,ICSD oxidation states_-4,ICSD oxidation states_-3,ICSD oxidation states_-2,ICSD oxidation states_-1,ICSD oxidation states_0,ICSD oxidation states_1,ICSD oxidation states_2,ICSD oxidation states_3,ICSD oxidation states_4,ICSD oxidation states_5,ICSD oxidation states_6,ICSD oxidation states_7,Unnamed: 103,Unnamed: 104,NMR Quadrupole Moment_3,Max oxidation state,Min oxidation state,Ionic radii hs_2,Ionic radii hs_3,Ionic radii hs_4,Ionic radii ls_2,Ionic radii ls_3,Ionic radii ls_4,Ionic radii ls_5,Ionic radii ls_6,Ionic radii ls_7
0,Ca,168757,0,,40.078,20.0,-143.935181,-15.046904999999999,-12.285376,-1.706331,-1.030572,,-0.14141099999999998,,,,,,,,,,,,1.8,1.94,1757.0,167.0,17.0,22.3,,,,,,,1.0,,,,,,,1550.0,3.4,,,,,,,1.14,,,,,,,642.0,1115.0,16.0,1.75,26.2,,,,,,,,1.0,,,,,,,0.31,,,7.4,,200.0,2.31,3810.0,,1.0,20.0,1.976,15.0,15.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
1,Ni,76668,0,,58.6934,28.0,-297.870824,-35.312112,-30.868027,-3.950717,-2.594158,-0.348699,-0.21076399999999998,,,,,,,,,,,,1.35,1.49,3186.0,700.0,180.0,13.4,,,,,,,1.0,,,,,,,8908.0,7.2,,,,,,,,0.74,,,,,,1458.0,1728.0,67.0,4.0,6.59,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,0.31,0.72,,76.0,,91.0,1.63,4970.0,638.0,1.91,200.0,1.246,70.0,70.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,0.74,,0.83,0.7,0.62,,,
5,Ca,168759,0,,40.078,20.0,-143.935181,-15.046904999999999,-12.285376,-1.706331,-1.030572,,-0.14141099999999998,,,,,,,,,,,,1.8,1.94,1757.0,167.0,17.0,22.3,,,,,,,1.0,,,,,,,1550.0,3.4,,,,,,,1.14,,,,,,,642.0,1115.0,16.0,1.75,26.2,,,,,,,,1.0,,,,,,,0.31,,,7.4,,200.0,2.31,3810.0,,1.0,20.0,1.976,15.0,15.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
6,Hf,53022,0,,178.49,72.0,-2210.65199,-361.006527,-345.687023,-81.522812,-74.452656,-61.231443000000006,-15.883625,-12.971211,-7.6766380000000005,-0.871574,-2.0498279999999998,-1.246441,-0.143805,,-0.166465,,,,1.55,2.08,4876.0,1700.0,110.0,5.9,,,,,,,,,1.0,,,,,13310.0,34.0,,,,,,,,,0.85,,,,,2370.0,2506.0,50.0,5.5,13.44,,,,,,,,1.0,1.0,1.0,,,,,0.37,,,30.0,0.128,23.0,,3010.0,1760.0,1.3,78.0,1.58,50.0,50.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
7,Ag,64707,0,,107.8682,47.0,-900.324578,-129.85980700000002,-120.913351,-23.678437,-20.067629999999998,-13.367803,-3.22309,-2.086602,-0.29870599999999997,,-0.157407,,,,,,,,1.6,1.65,2435.0,24.5,100.0,18.9,,,,,,1.0,,,,,,,,10490.0,1.63,,,,,,1.29,1.08,0.89,,,,,,1200.07,1234.93,71.0,2.5,10.27,,,,,,,1.0,1.0,1.0,,,,,,0.37,0.97,,30.0,,430.0,1.72,2600.0,251.0,1.93,83.0,1.445,72.0,72.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
8,Fe,159352,0,,55.845,26.0,-254.22550499999997,-29.564859999999996,-25.551766,-3.360621,-2.187523,-0.295049,-0.197978,,,,,,,,,,,,1.4,1.56,3134.0,490.0,170.0,11.8,,,,,,,1.0,1.0,,,,,,7874.0,10.0,,,,,,,0.92,0.785,,,,,,1323.0,1811.0,61.0,4.0,7.09,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,0.29,0.65,,82.0,,80.0,,4910.0,608.0,1.83,211.0,1.2770000000000001,64.0,64.0,,,,,,,1.0,1.0,,,,,,,,,,0.92,0.785,,0.75,0.69,0.725,,0.39,
10,Bi,189806,0,,208.9804,83.0,-2975.550959,-502.950758,-484.716359,-120.613998,-111.883393,-95.532476,-27.07034,-23.218641,-16.084817,-6.382744000000001,-4.611934,-3.2936370000000004,-1.139408,,-0.426129,-0.180198,,,1.6,1.43,1837.0,94.2,31.0,13.4,,,,,,,,1.0,,,,,,9780.0,130.0,,,,,,,,1.17,,0.9,,,,1292.6,544.4,87.0,2.25,21.31,,,1.0,,,,,,1.0,,1.0,,,,0.33,,,12.0,,8.0,2.07,1790.0,,2.02,32.0,1.82,87.0,87.0,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,
11,Ta,652898,0,,180.94788,73.0,-2275.371387,-372.828724,-357.248334,-84.658467,-77.440942,-63.942521,-16.713337,-13.71981,-8.265848,-1.199347,-2.223807,-1.37653,-0.18246400000000002,,-0.174814,,,,1.45,2.0,5731.0,800.0,200.0,6.3,,,,,,,,,,1.0,,,,16650.0,13.5,,,,,,,,0.86,0.82,0.78,,,,2441.0,3290.0,52.0,6.5,10.85,,,,,1.0,,,1.0,1.0,1.0,1.0,,,,0.34,0.78,,69.0,4.47,57.0,,3400.0,873.0,1.5,186.0,1.47,53.0,53.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
12,Zr,169452,0,,91.22399999999999,40.0,-639.292236,-87.237062,-80.01004300000001,-14.230432,-11.514415,-6.544643,-1.918971,-1.186597,-0.150673,,-0.162391,,,,,,,,1.55,2.06,4682.0,650.0,,5.7,,,,,,,,,1.0,,,,,6511.0,43.3,,,,,,,,,0.86,,,,,2554.0,2128.0,49.0,5.0,14.02,,,,,,,1.0,1.0,1.0,1.0,,,,,0.34,,,33.0,0.61,23.0,,3800.0,903.0,1.33,68.0,1.6019999999999999,51.0,51.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
13,Bi,42679,0,,208.9804,83.0,-2975.550959,-502.950758,-484.716359,-120.613998,-111.883393,-95.532476,-27.07034,-23.218641,-16.084817,-6.382744000000001,-4.611934,-3.2936370000000004,-1.139408,,-0.426129,-0.180198,,,1.6,1.43,1837.0,94.2,31.0,13.4,,,,,,,,1.0,,,,,,9780.0,130.0,,,,,,,,1.17,,0.9,,,,1292.6,544.4,87.0,2.25,21.31,,,1.0,,,,,,1.0,,1.0,,,,0.33,,,12.0,,8.0,2.07,1790.0,,2.02,32.0,1.82,87.0,87.0,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,
