Composition,Eg,class,avg_Atomic number,avg_Atomic weight,avg_Period number,avg_Group number,avg_Family number,avg_L quantum number,avg_Mendeleev number,avg_Atomic radius (?),avg_Covalent radius (?),avg_Zunger radius (?),avg_Ionic radius (?),avg_Crystal radius (?),avg_Pauling EN,avg_Martynov-Batsanov EN,avg_Gordy EN,avg_Mulliken EN,avg_Allen EN,avg_Metallic valence,avg_Number of valence electrons,avg_Number of s electrons,avg_Number of p electrons,avg_Number of d electrons,avg_Number of outer shell electrons,avg_First ionization energy (kJ/mol),avg_Polarizability,avg_Melting point (K),avg_Boiling point (K),avg_Density (g/mL),avg_Specific heat (J/g?K),avg_Heat of fusion (kJ/mol),avg_Heat of vaporization (kJ/mol),avg_Thermal conductivity (W/m?K),avg_Heat atomization (kJ/mol),avg_Cohesive energy (eV),diff_Atomic number,diff_Atomic weight,diff_Period number,diff_Group number,diff_Family number,diff_L quantum number,diff_Mendeleev number,diff_Atomic radius (?),diff_Covalent radius (?),diff_Zunger radius (?),diff_Ionic radius (?),diff_Crystal radius (?),diff_Pauling EN,diff_Martynov-Batsanov EN,diff_Gordy EN,diff_Mulliken EN,diff_Allen EN,diff_Metallic valence,diff_Number of valence electrons,diff_Number of s electrons,diff_Number of p electrons,diff_Number of d electrons,diff_Number of outer shell electrons,diff_First ionization energy (kJ/mol),diff_Polarizability,diff_Melting point (K),diff_Boiling point (K),diff_Density (g/mL),diff_Specific heat (J/g?K),diff_Heat of fusion (kJ/mol),diff_Heat of vaporization (kJ/mol),diff_Thermal conductivity (W/m?K),diff_Heat atomization (kJ/mol),diff_Cohesive energy (eV),max_Atomic number,max_Atomic weight,max_Period number,max_Group number,max_Family number,max_L quantum number,max_Mendeleev number,max_Atomic radius (?),max_Covalent radius (?),max_Zunger radius (?),max_Ionic radius (?),max_Crystal radius (?),max_Pauling EN,max_Martynov-Batsanov EN,max_Gordy EN,max_Mulliken EN,max_Allen EN,max_Metallic valence,max_Number of valence electrons,max_Number of s electrons,max_Number of p electrons,max_Number of d electrons,max_Number of outer shell electrons,max_First ionization energy (kJ/mol),max_Polarizability,max_Melting point (K),max_Boiling point (K),max_Density (g/mL),max_Specific heat (J/g?K),max_Heat of fusion (kJ/mol),max_Heat of vaporization (kJ/mol),max_Thermal conductivity (W/m?K),max_Heat atomization (kJ/mol),max_Cohesive energy (eV),min_Atomic number,min_Atomic weight,min_Period number,min_Group number,min_Family number,min_L quantum number,min_Mendeleev number,min_Atomic radius (?),min_Covalent radius (?),min_Zunger radius (?),min_Ionic radius (?),min_Crystal radius (?),min_Pauling EN,min_Martynov-Batsanov EN,min_Gordy EN,min_Mulliken EN,min_Allen EN,min_Metallic valence,min_Number of valence electrons,min_Number of s electrons,min_Number of p electrons,min_Number of d electrons,min_Number of outer shell electrons,min_First ionization energy (kJ/mol),min_Polarizability,min_Melting point (K),min_Boiling point (K),min_Density (g/mL),min_Specific heat (J/g?K),min_Heat of fusion (kJ/mol),min_Heat of vaporization (kJ/mol),min_Thermal conductivity (W/m?K),min_Heat atomization (kJ/mol),min_Cohesive energy (eV),
Ag0.1Cd0.8In2.1Te4,0.29,1,50.57142857,121.7476314,5,14.57142857,5.442857143,0.871428571,82.85714286,1.465,1.397428571,1.856357143,1.465,1.039857143,1.954714286,2.024285714,4.882592857,4.625428571,1.930371429,2.76,5.857142857,1.985714286,2.585714286,10,1.985714286,773.6142857,6.988571429,627.4042857,1581.778571,6.897285714,0.212928571,11.84227143,114.4377143,43.01428571,202.3285714,2.182142857,5,19.7318,0,5,2,1,25,0.2,0.14,0.705,0.2,0.37,0.41,1.31,1.5896,2.39,0.638,3.44,9,1,4,0,1,311,4.2,805.4,1447,4.26,0.035,14.227,198.03,426.65,172,1.79,52,127.6,5,16,6,1,90,1.6,1.48,2.375,1.6,1.29,2.1,2.38,5.4418,5.49,2.158,5.44,12,2,4,10,2,869,9.7,1235.15,2485.15,10.5,0.235,17.49,250.58,429,284,2.95,47,107.8682,5,11,4,0,65,1.4,1.34,1.67,1.4,0.92,1.69,1.07,3.8522,3.1,1.52,2,3,1,0,10,1,558,5.5,429.75,1038.15,6.24,0.2,3.263,52.55,2.35,112,1.16,
Ag0.25Cd0.5In2.25Te4,0.39,1,50.57142857,121.7018643,5,14.57142857,5.464285714,0.892857143,82.85714286,1.466071429,1.393571429,1.85625,1.466071429,1.048214286,1.961785714,2.022142857,4.887917857,4.601428571,1.940785714,2.76,5.642857143,1.964285714,2.607142857,10,1.964285714,764.0357143,7.057142857,637.6214286,1640.964286,6.908214286,0.213035714,11.88896429,120.5007143,49.80714286,208.8214286,2.249642857,5,19.7318,0,5,2,1,25,0.2,0.14,0.705,0.2,0.37,0.41,1.31,1.5896,2.39,0.638,3.44,9,1,4,0,1,311,4.2,805.4,1447,4.26,0.035,14.227,198.03,426.65,172,1.79,52,127.6,5,16,6,1,90,1.6,1.48,2.375,1.6,1.29,2.1,2.38,5.4418,5.49,2.158,5.44,12,2,4,10,2,869,9.7,1235.15,2485.15,10.5,0.235,17.49,250.58,429,284,2.95,47,107.8682,5,11,4,0,65,1.4,1.34,1.67,1.4,0.92,1.69,1.07,3.8522,3.1,1.52,2,3,1,0,10,1,558,5.5,429.75,1038.15,6.24,0.2,3.263,52.55,2.35,112,1.16,
Ag0.2Cd0.75In2.1Te4,0.54,1,50.53900709,121.6169773,5,14.53900709,5.432624113,0.865248227,82.69503546,1.466312057,1.396028369,1.861170213,1.466312057,1.044255319,1.956241135,2.015177305,4.874813475,4.624893617,1.932425532,2.786099291,5.886524823,1.971631206,2.567375887,10,1.971631206,772.3404255,7,636.2613475,1598.447872,6.935957447,0.213120567,11.87465248,116.4742553,48.10780142,204.1276596,2.200283688,5,19.7318,0,5,2,1,25,0.2,0.14,0.705,0.2,0.37,0.41,1.31,1.5896,2.39,0.638,3.44,9,1,4,0,1,311,4.2,805.4,1447,4.26,0.035,14.227,198.03,426.65,172,1.79,52,127.6,5,16,6,1,90,1.6,1.48,2.375,1.6,1.29,2.1,2.38,5.4418,5.49,2.158,5.44,12,2,4,10,2,869,9.7,1235.15,2485.15,10.5,0.235,17.49,250.58,429,284,2.95,47,107.8682,5,11,4,0,65,1.4,1.34,1.67,1.4,0.92,1.69,1.07,3.8522,3.1,1.52,2,3,1,0,10,1,558,5.5,429.75,1038.15,6.24,0.2,3.263,52.55,2.35,112,1.16,
Ag0.4Cd0.2In2.4Te4,0.42,1,50.57142857,121.6560971,5,14.57142857,5.485714286,0.914285714,82.85714286,1.467142857,1.389714286,1.856142857,1.467142857,1.056571429,1.968857143,2.02,4.893242857,4.577428571,1.9512,2.76,5.428571429,1.942857143,2.628571429,10,1.942857143,754.4571429,7.125714286,647.8385714,1700.15,6.919142857,0.213142857,11.93565714,126.5637143,56.6,215.3142857,2.317142857,5,19.7318,0,5,2,1,25,0.2,0.14,0.705,0.2,0.37,0.41,1.31,1.5896,2.39,0.638,3.44,9,1,4,0,1,311,4.2,805.4,1447,4.26,0.035,14.227,198.03,426.65,172,1.79,52,127.6,5,16,6,1,90,1.6,1.48,2.375,1.6,1.29,2.1,2.38,5.4418,5.49,2.158,5.44,12,2,4,10,2,869,9.7,1235.15,2485.15,10.5,0.235,17.49,250.58,429,284,2.95,47,107.8682,5,11,4,0,65,1.4,1.34,1.67,1.4,0.92,1.69,1.07,3.8522,3.1,1.52,2,3,1,0,10,1,558,5.5,429.75,1038.15,6.24,0.2,3.263,52.55,2.35,112,1.16,
Ag0.4Cd0.5In2.2Te4,0.19,1,50.50704225,121.4580817,5,14.50704225,5.436619718,0.873239437,82.53521127,1.468309859,1.392112676,1.86584507,1.468309859,1.054084507,1.962394366,2.004788732,4.870643662,4.608591549,1.941295775,2.811830986,5.774647887,1.943661972,2.563380282,10,1.943661972,764.7887324,7.056338028,651.7091549,1653.783803,6.981267606,0.213380282,11.93726761,122.4671831,57.5943662,210.1690141,2.262535211,5,19.7318,0,5,2,1,25,0.2,0.14,0.705,0.2,0.37,0.41,1.31,1.5896,2.39,0.638,3.44,9,1,4,0,1,311,4.2,805.4,1447,4.26,0.035,14.227,198.03,426.65,172,1.79,52,127.6,5,16,6,1,90,1.6,1.48,2.375,1.6,1.29,2.1,2.38,5.4418,5.49,2.158,5.44,12,2,4,10,2,869,9.7,1235.15,2485.15,10.5,0.235,17.49,250.58,429,284,2.95,47,107.8682,5,11,4,0,65,1.4,1.34,1.67,1.4,0.92,1.69,1.07,3.8522,3.1,1.52,2,3,1,0,10,1,558,5.5,429.75,1038.15,6.24,0.2,3.263,52.55,2.35,112,1.16,
Ag0.5Eu1.75GeS4,2.14,1,31.68965517,71.82715172,4,12.24137931,5.689655172,1.413793103,69.96551724,1.281034483,1.27,1.936896552,1.281034483,0.715517241,1.833793103,2.087931034,5.337941379,5.120689655,2.095517241,2.513103448,5.344827586,1.931034483,2.482758621,0.689655172,4.413793103,839.2758621,9.672413793,730.8189655,1430.467241,3.864827586,0.495517241,9.045172414,102.9675862,41.35186207,268.4827586,2.755862069,47,119.899,3,13,4,3,63,0.85,0.83,2.84,0.85,0.88,2.58,1.58,1.9936,3.12,1.499,3.44,8,1,4,10,5,453,24.8,849.2,2385.3,8.43,0.53,35.2225,321.1,428.731,199,1.99,63,151.965,6,16,7,3,88,1.85,1.85,3.94,1.85,1.31,2.58,2.65,5.8458,6.22,2.589,5.44,11,2,4,10,6,1000,27.7,1235.15,3103.15,10.5,0.71,36.94,330.9,429,377,3.85,16,32.066,3,3,3,0,25,1,1.02,1.1,1,0.43,0,1.07,3.8522,3.1,1.09,2,3,1,0,0,1,547,2.9,385.95,717.85,2.07,0.18,1.7175,9.8,0.269,178,1.86,
Ag0.5Pb1.75GeS4,1.83,1,36.27586207,85.15973793,4,14.89655172,6.172413793,0.931034483,83.48275862,1.268965517,1.178275862,1.490344828,1.268965517,0.758965517,2.268275862,2.273793103,5.275255172,5.313793103,2.279931034,2.619310345,5.586206897,1.931034483,2.965517241,3.103448276,4.896551724,880.0689655,4.627586207,611.4568966,1481.398276,5.351724138,0.483448276,7.980448276,111.2227586,46.51737931,272.8275862,2.796896552,66,175.134,3,5,3,1,23,0.8,0.45,1.275,0.8,1.06,0.78,1.58,1.9936,2.32,0.735,3.44,7,1,4,10,5,284,5,849.2,2385.3,9.33,0.58,35.2225,321.1,428.731,181,1.82,82,207.2,6,16,7,1,88,1.8,1.47,2.375,1.8,1.49,2.58,2.65,5.8458,6.22,2.589,5.44,11,2,4,10,6,1000,7.9,1235.15,3103.15,11.4,0.71,36.94,330.9,429,377,3.85,16,32.066,3,11,4,0,65,1,1.02,1.1,1,0.43,1.8,1.07,3.8522,3.9,1.854,2,4,1,0,0,1,716,2.9,385.95,717.85,2.07,0.13,1.7175,9.8,0.269,196,2.03,
Ag0.5Pb1.75GeSe4,1.51,1,46.20689655,111.0322897,4.551724138,14.89655172,6.172413793,0.931034483,84.03448276,1.351724138,1.255517241,1.592413793,1.351724138,0.830689655,2.251724138,2.213103448,5.228468966,5.131724138,2.194413793,2.619310345,5.586206897,1.931034483,2.965517241,3.103448276,4.896551724,847.5172414,5.124137931,668.9465517,1613.977586,6.852413793,0.268275862,10.72610345,126.6158621,47.49448276,244.137931,2.581724138,50,134.59,2,5,3,1,24,0.65,0.31,1.09,0.65,0.96,0.75,1.47,1.9088,1.99,0.58,3.44,7,1,4,10,5,225,4.1,745,2145,6.61,0.19,32.141,293.2,426.96,181,1.82,82,207.2,6,16,7,1,89,1.8,1.47,2.375,1.8,1.49,2.55,2.54,5.761,5.89,2.434,5.44,11,2,4,10,6,941,7.9,1235.15,3103.15,11.4,0.32,36.94,330.9,429,377,3.85,32,72.61,4,11,4,0,65,1.15,1.16,1.285,1.15,0.53,1.8,1.07,3.8522,3.9,1.854,2,4,1,0,0,1,716,3.8,490.15,958.15,4.79,0.13,4.799,37.7,2.04,196,2.03,
Ag1.75InSb5.75Se11,0.94,1,40.94871795,96.01371026,4.435897436,15.1025641,6.333333333,0.91025641,84.94871795,1.299358974,1.261282051,1.563589744,1.299358974,0.74525641,2.307435897,2.243461538,5.285591026,5.310128205,2.210794872,2.677435897,6,1.91025641,3.192307692,4.358974359,4.166666667,870.9615385,5.296153846,675.9884615,1539.739744,5.991923077,0.275320513,10.81664103,78.37282051,51.00076923,243.2564103,2.592564103,17,42.8,1,5,3,1,24,0.45,0.28,1.09,0.45,0.73,0.77,1.47,1.9088,2.79,0.778,3.44,8,1,4,10,5,383,5.9,805.4,1527,5.71,0.11,16.607,212.88,426.96,57,0.49,51,121.76,5,16,7,1,89,1.6,1.44,2.375,1.6,1.29,2.55,2.54,5.761,5.89,2.434,5.44,11,2,4,10,6,941,9.7,1235.15,2485.15,10.5,0.32,19.87,250.58,429,284,2.95,34,78.96,4,11,4,0,65,1.15,1.16,1.285,1.15,0.56,1.78,1.07,3.8522,3.1,1.656,2,3,1,0,0,1,558,3.8,429.75,958.15,4.79,0.21,3.263,37.7,2.04,227,2.46,
Ag2.7Ba6Sn4.3S16,1.58,1,32.20344828,73.74879793,4.103448276,12.34137931,5.389655172,0.7,68.32758621,1.360517241,1.306241379,1.810637931,1.360517241,0.767931034,2.077896552,2.063896552,5.18970069,4.979241379,2.055248276,2.616827586,5.34137931,1.906896552,2.503448276,2.413793103,4.113793103,828.9793103,11.69103448,609.35,1400.343103,3.927689655,0.489468966,4.645334483,101.976069,53.77186207,262.3931034,2.705758621,40,105.261,3,14,5,1,79,1.15,0.96,2.302,1.15,1.06,1.69,1.58,1.9936,3.82,1.708,3.44,9,1,4,10,5,497,36.8,849.2,1825.3,8.43,0.506,9.5825,286,428.731,122,1.24,56,137.327,6,16,7,1,88,2.15,1.98,3.402,2.15,1.49,2.58,2.65,5.8458,6.22,2.589,5.44,11,2,4,10,6,1000,39.7,1235.15,2543.15,10.5,0.71,11.3,295.8,429,302,3.14,16,32.066,3,2,2,0,9,1,1.02,1.1,1,0.43,0.89,1.07,3.8522,2.4,0.881,2,2,1,0,0,1,503,2.9,385.95,717.85,2.07,0.204,1.7175,9.8,0.269,180,1.9,
